Gene stable ID	Gene stable ID version	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Gene % GC content	Gene type
ENSMUSG00000064336	ENSMUSG00000064336.1	mitochondrially encoded tRNA phenylalanine [Source:MGI Symbol;Acc:MGI:102487]	MT	1	68	mt-Tf	30.88	Mt_tRNA
ENSMUSG00000064337	ENSMUSG00000064337.1	mitochondrially encoded 12S rRNA [Source:MGI Symbol;Acc:MGI:102493]	MT	70	1024	mt-Rnr1	35.81	Mt_rRNA
ENSMUSG00000064338	ENSMUSG00000064338.1	mitochondrially encoded tRNA valine [Source:MGI Symbol;Acc:MGI:102472]	MT	1025	1093	mt-Tv	39.13	Mt_tRNA
ENSMUSG00000064339	ENSMUSG00000064339.1	mitochondrially encoded 16S rRNA [Source:MGI Symbol;Acc:MGI:102492]	MT	1094	2675	mt-Rnr2	35.40	Mt_rRNA
ENSMUSG00000064340	ENSMUSG00000064340.1	mitochondrially encoded tRNA leucine 1 [Source:MGI Symbol;Acc:MGI:102482]	MT	2676	2750	mt-Tl1	44.00	Mt_tRNA
ENSMUSG00000064341	ENSMUSG00000064341.1	mitochondrially encoded NADH dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:101787]	MT	2751	3707	mt-Nd1	37.62	protein_coding
ENSMUSG00000064342	ENSMUSG00000064342.1	mitochondrially encoded tRNA isoleucine [Source:MGI Symbol;Acc:MGI:102484]	MT	3706	3774	mt-Ti	27.54	Mt_tRNA
ENSMUSG00000064343	ENSMUSG00000064343.1	mitochondrially encoded tRNA glutamine [Source:MGI Symbol;Acc:MGI:102477]	MT	3772	3842	mt-Tq	36.62	Mt_tRNA
ENSMUSG00000064344	ENSMUSG00000064344.1	mitochondrially encoded tRNA methionine [Source:MGI Symbol;Acc:MGI:102480]	MT	3845	3913	mt-Tm	44.93	Mt_tRNA
ENSMUSG00000064345	ENSMUSG00000064345.1	mitochondrially encoded NADH dehydrogenase 2 [Source:MGI Symbol;Acc:MGI:102500]	MT	3914	4951	mt-Nd2	35.74	protein_coding
ENSMUSG00000064346	ENSMUSG00000064346.1	mitochondrially encoded tRNA tryptophan [Source:MGI Symbol;Acc:MGI:102471]	MT	4950	5016	mt-Tw	40.30	Mt_tRNA
ENSMUSG00000064347	ENSMUSG00000064347.1	mitochondrially encoded tRNA alanine [Source:MGI Symbol;Acc:MGI:102491]	MT	5018	5086	mt-Ta	33.33	Mt_tRNA
ENSMUSG00000064348	ENSMUSG00000064348.1	mitochondrially encoded tRNA asparagine [Source:MGI Symbol;Acc:MGI:102479]	MT	5089	5159	mt-Tn	33.80	Mt_tRNA
ENSMUSG00000064349	ENSMUSG00000064349.1	mitochondrially encoded tRNA cysteine [Source:MGI Symbol;Acc:MGI:102490]	MT	5192	5257	mt-Tc	36.36	Mt_tRNA
ENSMUSG00000064350	ENSMUSG00000064350.1	mitochondrially encoded tRNA tyrosine [Source:MGI Symbol;Acc:MGI:102470]	MT	5260	5326	mt-Ty	34.33	Mt_tRNA
